min_support,FP_Time,AP_Time,FP_FreqItems,AP_FreqItems,FP_Rules,AP_Rules,FP_AvgItemsetLength,AP_AvgItemsetLength,FP_AvgConfidence,AP_AvgConfidence,FP_AvgLift,AP_AvgLift
0.05,2.065548896789551,0.10248756408691406,31,31,0,0,1.0,1.0,0.0,0.0,0.0,0.0
0.04,2.290315628051758,0.17722225189208984,63,63,2,2,1.0158730158730158,1.0158730158730158,0.5408463010798351,0.5408463010798351,6.4463206326559614,6.4463206326559614
0.03,2.8209104537963867,0.42685580253601074,139,139,15,15,1.0575539568345325,1.0575539568345325,0.5676115658881888,0.5676115658881888,9.064485290146274,9.064485290146274
0.025,4.744895696640015,0.634915828704834,220,220,63,63,1.1590909090909092,1.1590909090909092,0.5156564694351201,0.5156564694351201,8.573461799017723,8.573461799017723
0.02,6.069978952407837,1.5266027450561523,388,388,172,172,1.2448453608247423,1.2448453608247423,0.498774014433401,0.49877401443340097,9.182010473726784,9.182010473726784
